data,reservatorio,vol util (%),prec (mm/dia),acum prec (mês)
1/1/2003,Cantareira,55.5533674675,0,0
1/2/2003,Cantareira,55.3986608901,11.1,11.1
1/3/2003,Cantareira,55.3986608901,8.6,19.6
1/4/2003,Cantareira,55.3986608901,14.3,33.9
1/5/2003,Cantareira,55.4760141788,12.7,46.5
1/6/2003,Cantareira,55.4760141788,23.8,70.4
1/7/2003,Cantareira,55.5533674675,0,70.4
1/8/2003,Cantareira,55.5533674675,0,70.4
1/9/2003,Cantareira,55.6307207562,0,70.4
1/10/2003,Cantareira,55.3986608901,0,70.4
1/11/2003,Cantareira,55.4760141788,25,95.4
1/12/2003,Cantareira,55.6307207562,8.3,103.7
1/13/2003,Cantareira,55.940133911,23.3,127.1
1/14/2003,Cantareira,55.8627806223,2.8,129.9
1/15/2003,Cantareira,55.7854273336,0,129.9
1/16/2003,Cantareira,55.7854273336,0,129.9
1/17/2003,Cantareira,56.1721937771,43.4,173.2
1/18/2003,Cantareira,57.1777865301,42.6,215.8
1/19/2003,Cantareira,57.719259551,6.4,222.3
1/20/2003,Cantareira,58.3380858606,30,252.2
1/21/2003,Cantareira,58.8022055928,0,252.2
1/22/2003,Cantareira,59.8851516345,49.6,301.9
1/23/2003,Cantareira,60.7360378102,18.2,320
1/24/2003,Cantareira,61.4322174084,22.2,342.3
1/25/2003,Cantareira,62.2057502954,1.1,343.3
1/26/2003,Cantareira,62.9792831824,4.1,347.5
1/27/2003,Cantareira,63.9075226467,18.5,366
1/28/2003,Cantareira,64.7584088224,16.9,382.9
1/29/2003,Cantareira,65.9960614415,18.2,401.1
1/30/2003,Cantareira,67.156360772,4.3,405.3
1/31/2003,Cantareira,68.3940133911,5.1,410.4
2/1/2003,Cantareira,69.3996061442,10.8,10.8
2/2/2003,Cantareira,69.941079165,0.3,11
2/3/2003,Cantareira,70.2504923198,0,11
2/4/2003,Cantareira,70.5599054746,0,11
2/5/2003,Cantareira,70.714612052,0.5,11.5
2/6/2003,Cantareira,71.1013784955,0.3,11.9
2/7/2003,Cantareira,71.3334383616,6.5,18.4
2/8/2003,Cantareira,71.4107916503,0.3,18.7
2/9/2003,Cantareira,71.5654982276,0,18.7
2/10/2003,Cantareira,71.6428515163,0,18.7
2/11/2003,Cantareira,71.720204805,0.3,19
2/12/2003,Cantareira,71.720204805,0,19
2/13/2003,Cantareira,71.5654982276,1.4,20.3
2/14/2003,Cantareira,71.8749113824,13.7,34
2/15/2003,Cantareira,71.8749113824,2.6,36.6
2/16/2003,Cantareira,72.0296179598,8.3,45
2/17/2003,Cantareira,72.0296179598,3.4,48.3
2/18/2003,Cantareira,72.7257975581,40.6,89
2/19/2003,Cantareira,72.9578574242,5,94
2/20/2003,Cantareira,73.1125640016,4.3,98.3
2/21/2003,Cantareira,73.3446238677,0.9,99.2
2/22/2003,Cantareira,73.4219771564,1.5,100.7
2/23/2003,Cantareira,73.4993304451,0.3,101
2/24/2003,Cantareira,73.4993304451,0,101
2/25/2003,Cantareira,73.4993304451,0,101
2/26/2003,Cantareira,73.4219771564,0,101
2/27/2003,Cantareira,73.4219771564,0,101
2/28/2003,Cantareira,73.3446238677,0,101
3/1/2003,Cantareira,73.267270579,0,0
3/2/2003,Cantareira,73.1899172903,0,0
3/3/2003,Cantareira,73.0352107129,0,0
3/4/2003,Cantareira,73.0352107129,7.1,7.1
3/5/2003,Cantareira,72.9578574242,0,7.1
3/6/2003,Cantareira,73.0352107129,7.8,14.9
3/7/2003,Cantareira,73.1899172903,10.7,25.6
3/8/2003,Cantareira,73.1899172903,8.2,33.9
3/9/2003,Cantareira,73.3446238677,12.2,46.1
3/10/2003,Cantareira,73.4219771564,2,48.1
3/11/2003,Cantareira,73.4993304451,10.2,58.2
3/12/2003,Cantareira,73.5766837338,4.3,62.5
3/13/2003,Cantareira,73.7313903111,5.7,68.2
3/14/2003,Cantareira,73.8087435998,3.3,71.5
3/15/2003,Cantareira,73.9634501772,0,71.5
3/16/2003,Cantareira,74.0408034659,0,71.5
3/17/2003,Cantareira,73.9634501772,1.6,73.1
3/18/2003,Cantareira,74.0408034659,2.7,75.8
3/19/2003,Cantareira,74.0408034659,0,75.8
3/20/2003,Cantareira,74.0408034659,4.2,80.1
3/21/2003,Cantareira,74.1955100433,12.4,92.4
3/22/2003,Cantareira,74.4275699094,8.2,100.7
3/23/2003,Cantareira,74.4275699094,0,100.7
3/24/2003,Cantareira,74.5049231981,0,100.7
3/25/2003,Cantareira,74.5049231981,0,100.7
3/26/2003,Cantareira,74.5049231981,0,100.7
3/27/2003,Cantareira,74.4275699094,0,100.7
3/28/2003,Cantareira,74.4275699094,2.8,103.5
3/29/2003,Cantareira,74.4275699094,0,103.5
3/30/2003,Cantareira,74.3502166207,0,103.5
3/31/2003,Cantareira,74.272863332,0,103.5
4/1/2003,Cantareira,74.1955100433,0,0
